species,D,D_min4,D_max4,D_interval_width,ambiguous_palette_rate,technical_failure_rate
Aquilegia brevistyla,0.4400181077410593,0.3903061224489795,0.5873724489795917,0.1970663265306121,0.09,0.44
Arabidopsis thaliana,0.1348760330578513,0.1326530612244898,0.1651785714285715,0.0325255102040816,0.01,0.44
Argentina pacifica,0.0,0.0,0.0,0.0,0.0,0.32
Arnica latifolia,0.029405212742259,0.029405212742259,0.029405212742259,0.0,0.0,0.33
Asclepias angustifolia,0.056710775047259,0.0559183673469387,0.0832653061224488,0.02734693877551,0.01,0.3
Asclepias curassavica,0.21875,0.1773716742811071,0.4934157484547165,0.3160440741736093,0.13,0.39
Asclepias purpurascens,0.3399999999999998,0.3002378121284186,0.4922711058263971,0.1920332936979785,0.08,0.42
Asphodelus albus,0.2401297998918334,0.2268431001890358,0.3336483931947069,0.1068052930056711,0.03,0.54
Astragalus agrestis,0.5246876859012493,0.4090298306906744,0.7153990862671324,0.306369255576458,0.2,0.39
Bauera rubioides,0.3354591836734693,0.3122816447191614,0.4316044074173609,0.1193227626981995,0.05,0.39
Berberis aquifolium,0.0,0.0,0.0,0.0,0.0,0.38
Berberis nervosa,0.1680384087791495,0.1600492459218221,0.2517697753154816,0.0917205293936594,0.03,0.43
Bidens laevis,0.0,0.0,0.0,0.0,0.0,0.38
Bistorta vivipara,0.170879316482734,0.1600492459218221,0.280701754385965,0.1206525084641428,0.04,0.43
Blephilia ciliata,0.1104809913883638,0.0995108787316579,0.2793051104739418,0.1797942317422838,0.08,0.23
Borrichia frutescens,0.0249959942316935,0.0249959942316935,0.0249959942316935,0.0,0.0,0.21
