species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Cryptantha barbigera,0.2230902777777778,0.1041666666666666,0.1164187716728742,True,False,discovery
Cylindropuntia echinocarpa,0.19013128112268,0.1063829787234042,-0.0596031473258009,True,False,discovery
Cypripedium guttatum,0.3336483931947069,0.1304347826086956,0.0385712694685867,True,False,discovery
Dalea candida,0.0525931336742147,0.027027027027027,-0.0583645627464291,False,False,discovery
Dampiera stricta,0.1842653420926132,0.0886075949367088,0.1968054690690822,False,False,discovery
Delphinium glaucum,0.2014462809917354,0.1136363636363636,0.0837242966807565,True,False,discovery
Delphinium sutherlandii,0.1067995728017088,0.0566037735849056,-0.0291583344536352,False,False,discovery
Desmanthus illinoensis,0.2355371900826446,0.1363636363636363,0.0360665725514892,True,False,discovery
Diplacus mephiticus,0.5627162629757786,0.4117647058823529,0.0235571265597107,True,True,discovery
Diplotaxis tenuifolia,0.0973044049967126,0.0512820512820512,-0.0376892486620117,False,False,discovery
Disphyma crassifolium,0.4717066545948393,0.1489361702127659,0.2580176479450787,True,False,discovery
Distimake aegyptius,0.0767999999999999,0.04,0.0105565453221302,False,False,discovery
Distimake dissectus,0.2228377962449986,0.0701754385964912,0.0935546841302528,False,False,discovery
Drosera spatulata,0.6803677663601947,0.3255813953488372,0.1573675071283231,True,True,discovery
Dyssodia pinnata,0.0,0.0,-0.0035775432334954,False,False,discovery
Echium gaditanum,0.2814776274713838,0.1129032258064516,0.0345909946367437,True,False,discovery
Echium rosulatum,0.4841580633677466,0.320754716981132,0.2711843434390857,True,True,discovery
Ehretia anacua,0.0,0.0,0.0217426759344006,False,False,discovery
Elephantopus carolinianus,0.1227887617065557,0.032258064516129,0.1104325521199217,False,False,discovery
Epacris obtusifolia,0.2141582391433669,0.1219512195121951,-0.0508376505108628,True,False,discovery
Erechtites hieraciifolius,0.4762335898596649,0.3404255319148936,0.0761016998743585,True,True,discovery
Erigeron foliosus,0.6024,0.24,-0.052264305395894,True,True,discovery
Erigeron linearis,0.0886965927528393,0.0465116279069767,0.0514398243753541,False,False,discovery
Eriodictyon crassifolium,0.1680384087791495,0.0925925925925925,0.0328753721712507,False,False,discovery
Eriogonum jamesii,0.1400367309458219,0.0757575757575757,0.123774261306428,False,False,discovery
Eriogonum latifolium,0.2240816326530612,0.1285714285714285,0.1158388134739911,True,False,discovery
Eriogonum niveum,0.0878099173553718,0.0227272727272727,-0.0077143755098618,False,False,discovery
Eriophorum vaginatum,0.345679012345679,0.2222222222222222,-0.0613462393888656,True,True,discovery
Eriophyllum confertiflorum,0.0,0.0,0.0354920111116875,False,False,discovery
Eryngium planum,0.2137639369473281,0.0784313725490196,0.1373990715167185,False,False,discovery
Erythranthe dentata,0.0579193584317219,0.0298507462686567,0.0256816792312864,False,False,discovery
Erythranthe erubescens,0.5698765432098767,0.2888888888888888,-0.0247348358469786,True,True,discovery
Erythrina humeana,0.2921597633136095,0.1538461538461538,0.2639268112366662,True,False,discovery
Eschscholzia minutiflora,0.0,0.0,0.10964140950518,False,False,discovery
Euonymus obovatus,0.4997025580011898,0.4878048780487805,-0.0018307581925839,True,True,discovery
