species,inat_taxon_id,total_metadata_records,occupied_cells,cells_ge_2,cells_ge_3,max_records_in_cell,median_records_per_occupied_cell,metadata_rank
Agathosma bifida,574892,1,1,0,0,1,1.0,6535
Trichodesma calycosum,575097,1,1,0,0,1,1.0,6536
Moraea ramosissima,575123,1,1,0,0,1,1.0,6537
Fabiana viscosa,576387,1,1,0,0,1,1.0,6538
Psoralea diturnerae,577595,1,1,0,0,1,1.0,6539
Hermannia depressa,577618,1,1,0,0,1,1.0,6540
Thesium strictum,577622,1,1,0,0,1,1.0,6541
Chironia tetragona,577626,1,1,0,0,1,1.0,6542
Ipomoea bernoulliana,577773,1,1,0,0,1,1.0,6543
Helicteres brevispira,577918,1,1,0,0,1,1.0,6544
Clusia insignis,577935,1,1,0,0,1,1.0,6545
Phylica velutina,578029,1,1,0,0,1,1.0,6546
Indigofera nummulariifolia,578323,1,1,0,0,1,1.0,6547
Myriactis humilis,578432,1,1,0,0,1,1.0,6548
Monopsis unidentata,578491,1,1,0,0,1,1.0,6549
Holothrix cernua,578697,1,1,0,0,1,1.0,6550
Ledebouria ensifolia,578702,1,1,0,0,1,1.0,6551
Abutilon austroafricanum,578900,1,1,0,0,1,1.0,6552
Abutilon grandiflorum,578906,1,1,0,0,1,1.0,6553
Acmadenia tetragona,579037,1,1,0,0,1,1.0,6554
Adenium multiflorum,579088,1,1,0,0,1,1.0,6555
Aeollanthus buchnerianus,579133,1,1,0,0,1,1.0,6556
Aeollanthus rehmannii,579137,1,1,0,0,1,1.0,6557
Agathosma apiculata,579221,1,1,0,0,1,1.0,6558
Aloe myriacantha,579641,1,1,0,0,1,1.0,6559
Aloiampelos ciliaris,579676,1,1,0,0,1,1.0,6560
Amphithalea violacea,579772,1,1,0,0,1,1.0,6561
Anginon difforme,579853,1,1,0,0,1,1.0,6562
Anisodontea biflora,579873,1,1,0,0,1,1.0,6563
Anthospermum galioides,579942,1,1,0,0,1,1.0,6564
Anticharis juncea,579968,1,1,0,0,1,1.0,6565
Anticharis senegalensis,579970,1,1,0,0,1,1.0,6566
Arctotis linearis,580148,1,1,0,0,1,1.0,6567
Arctotis pinnatifida,580152,1,1,0,0,1,1.0,6568
Argyrolobium speciosum,580217,1,1,0,0,1,1.0,6569
Argyrolobium velutinum,580223,1,1,0,0,1,1.0,6570
Aristea spiralis,580263,1,1,0,0,1,1.0,6571
Asclepias brevicuspis,580332,1,1,0,0,1,1.0,6572
Aspalathus cymbiformis,580454,1,1,0,0,1,1.0,6573
Aspalathus kougaensis,580505,1,1,0,0,1,1.0,6574
Aspalathus ternata,580604,1,1,0,0,1,1.0,6575
Atriplex dimorphostegia,580842,1,1,0,0,1,1.0,6576
Babiana melanops,580898,1,1,0,0,1,1.0,6577
Babiana mucronata,580900,1,1,0,0,1,1.0,6578
Babiana odorata,580903,1,1,0,0,1,1.0,6579
Babiana purpurea,580912,1,1,0,0,1,1.0,6580
Barleria bremekampii,580960,1,1,0,0,1,1.0,6581
Barleria delagoensis,580965,1,1,0,0,1,1.0,6582
Berkheya barbata,581054,1,1,0,0,1,1.0,6583
Blepharis obmitrata,581175,1,1,0,0,1,1.0,6584
Bolandia elongata,581208,1,1,0,0,1,1.0,6585
Brachycorythis pleistophylla,581258,1,1,0,0,1,1.0,6586
Brunia paleacea,581416,1,1,0,0,1,1.0,6587
Brunsvigia comptonii,581433,1,1,0,0,1,1.0,6588
Caesia contorta,581612,1,1,0,0,1,1.0,6589
Cassinopsis ilicifolia,581795,1,1,0,0,1,1.0,6590
Catunaregam spinosa,581804,1,1,0,0,1,1.0,6591
Cestrum laevigatum,581993,1,1,0,0,1,1.0,6592
Chrysocoma esterhuyseniae,582233,1,1,0,0,1,1.0,6593
Cineraria lobata,582269,1,1,0,0,1,1.0,6594
Clematis hirsuta,582304,1,1,0,0,1,1.0,6595
Clutia pulchella,582488,1,1,0,0,1,1.0,6596
Colpias mollis,582582,1,1,0,0,1,1.0,6597
Cotula duckittiae,582826,1,1,0,0,1,1.0,6598
Crassula nemorosa,582941,1,1,0,0,1,1.0,6599
Crassula subulata,582972,1,1,0,0,1,1.0,6600
Crotalaria capensis,583028,1,1,0,0,1,1.0,6601
Cucumis hirsutus,583101,1,1,0,0,1,1.0,6602
Cullumia sulcata,583122,1,1,0,0,1,1.0,6603
Cynoglossum lanceolatum,583215,1,1,0,0,1,1.0,6604
Cyperus proteus,583255,1,1,0,0,1,1.0,6605
Cyphostemma sulcatum,583355,1,1,0,0,1,1.0,6606
Cysticapnos cracca,583407,1,1,0,0,1,1.0,6607
Delosperma virens,583587,1,1,0,0,1,1.0,6608
Dicliptera cernua,583703,1,1,0,0,1,1.0,6609
Diosma guthriei,583862,1,1,0,0,1,1.0,6610
Disa arida,583942,1,1,0,0,1,1.0,6611
Disa chrysostachya,583959,1,1,0,0,1,1.0,6612
Disa salteri,584026,1,1,0,0,1,1.0,6613
Disa vaginata,584046,1,1,0,0,1,1.0,6614
Disa welwitschii,584053,1,1,0,0,1,1.0,6615
Dovyalis rotundifolia,584114,1,1,0,0,1,1.0,6616
Dovyalis zeyheri,584115,1,1,0,0,1,1.0,6617
Drimia salteri,584178,1,1,0,0,1,1.0,6618
Drosanthemum hispifolium,584237,1,1,0,0,1,1.0,6619
Drosanthemum parvifolium,584262,1,1,0,0,1,1.0,6620
Entada arenaria,584499,1,1,0,0,1,1.0,6621
Erica aristata,584667,1,1,0,0,1,1.0,6622
Erica eriocephala,584817,1,1,0,0,1,1.0,6623
Erica hispidula,584897,1,1,0,0,1,1.0,6624
Erica mammosa,585000,1,1,0,0,1,1.0,6625
Erica paniculata,585073,1,1,0,0,1,1.0,6626
Erica pinea,585105,1,1,0,0,1,1.0,6627
Erica ribisaria,585153,1,1,0,0,1,1.0,6628
Eulophia coeloglossa,585535,1,1,0,0,1,1.0,6629
Eulophia longisepala,585541,1,1,0,0,1,1.0,6630
Euphorbia rubriflora,585660,1,1,0,0,1,1.0,6631
Felicia echinata,585823,1,1,0,0,1,1.0,6632
Ficinia deusta,585905,1,1,0,0,1,1.0,6633
Freylinia lanceolata,586042,1,1,0,0,1,1.0,6634
Freylinia tropica,586044,1,1,0,0,1,1.0,6635
Gerbera cordata,586313,1,1,0,0,1,1.0,6636
Gladiolus brevifolius,586382,1,1,0,0,1,1.0,6637
Gladiolus flanaganii,586406,1,1,0,0,1,1.0,6638
Gladiolus griseus,586409,1,1,0,0,1,1.0,6639
Gladiolus priorii,586452,1,1,0,0,1,1.0,6640
Globulariopsis adpressa,586504,1,1,0,0,1,1.0,6641
Hartmanthus pergamentaceus,586761,1,1,0,0,1,1.0,6642
Harveya stenosiphon,586770,1,1,0,0,1,1.0,6643
Helichrysum galpinii,586915,1,1,0,0,1,1.0,6644
Helichrysum rugulosum,587016,1,1,0,0,1,1.0,6645
Heliophila digitata,587093,1,1,0,0,1,1.0,6646
Heliophila variabilis,587143,1,1,0,0,1,1.0,6647
Hibiscus micranthus,587485,1,1,0,0,1,1.0,6648
Hibiscus physaloides,587490,1,1,0,0,1,1.0,6649
Hilliardiella elaeagnoides,587506,1,1,0,0,1,1.0,6650
Holothrix schlechteriana,587540,1,1,0,0,1,1.0,6651
Hypoestes triflora,587679,1,1,0,0,1,1.0,6652
Hypoxis parvifolia,587716,1,1,0,0,1,1.0,6653
Indigastrum costatum,587738,1,1,0,0,1,1.0,6654
Indigofera ceciliae,587762,1,1,0,0,1,1.0,6655
Indigofera denudata,587779,1,1,0,0,1,1.0,6656
Indigofera flavicans,587796,1,1,0,0,1,1.0,6657
Indigofera meyeriana,587840,1,1,0,0,1,1.0,6658
Indigofera oxytropis,587857,1,1,0,0,1,1.0,6659
Inula glomerata,587908,1,1,0,0,1,1.0,6660
Ipomoea dichroa,587925,1,1,0,0,1,1.0,6661
Ipomoea sinensis,587944,1,1,0,0,1,1.0,6662
Isoglossa cooperi,587959,1,1,0,0,1,1.0,6663
Ixia brunneobractea,588013,1,1,0,0,1,1.0,6664
Ixia flexuosa,588031,1,1,0,0,1,1.0,6665
Jamesbrittenia burkeana,588102,1,1,0,0,1,1.0,6666
Lachenalia corymbosa,588362,1,1,0,0,1,1.0,6667
Lachenalia juncifolia,588377,1,1,0,0,1,1.0,6668
Lachenalia lutea,588388,1,1,0,0,1,1.0,6669
Lachenalia peersii,588412,1,1,0,0,1,1.0,6670
Lachenalia polyphylla,588415,1,1,0,0,1,1.0,6671
Lachenalia variegata,588436,1,1,0,0,1,1.0,6672
Lachenalia youngii,588443,1,1,0,0,1,1.0,6673
Lampranthus aduncus,588494,1,1,0,0,1,1.0,6674
Lasiopogon muscoides,588726,1,1,0,0,1,1.0,6675
Lasiosiphon capitatus,588733,1,1,0,0,1,1.0,6676
Ledebouria ovalifolia,588849,1,1,0,0,1,1.0,6677
Ledebouria zebrina,588866,1,1,0,0,1,1.0,6678
Leucadendron chamelaea,589051,1,1,0,0,1,1.0,6679
Leucadendron tradouwense,589099,1,1,0,0,1,1.0,6680
Leucosphaera bainesii,589140,1,1,0,0,1,1.0,6681
Limonium peregrinum,589189,1,1,0,0,1,1.0,6682
Lobelia coronopifolia,589317,1,1,0,0,1,1.0,6683
Lobelia patula,589338,1,1,0,0,1,1.0,6684
Lotononis azurea,589395,1,1,0,0,1,1.0,6685
Maerua juncea,589550,1,1,0,0,1,1.0,6686
Manulea parviflora,589625,1,1,0,0,1,1.0,6687
Marasmodes dummeri,589649,1,1,0,0,1,1.0,6688
Melaleuca glauca,589711,1,1,0,0,1,1.0,6689
Menodora africana,589782,1,1,0,0,1,1.0,6690
Mesembryanthemum cordifolium,589815,1,1,0,0,1,1.0,6691
Mesembryanthemum paulum,589866,1,1,0,0,1,1.0,6692
Monsonia camdeboensis,590081,1,1,0,0,1,1.0,6693
Monsonia marlothii,590096,1,1,0,0,1,1.0,6694
Monsonia mossamedensis,590097,1,1,0,0,1,1.0,6695
Moraea inconspicua,590188,1,1,0,0,1,1.0,6696
Moraea nana,590226,1,1,0,0,1,1.0,6697
Moraea papilionacea,590231,1,1,0,0,1,1.0,6698
Muraltia trinervia,590403,1,1,0,0,1,1.0,6699
Nemesia bicornis,590455,1,1,0,0,1,1.0,6700
Nidorella undulata,590631,1,1,0,0,1,1.0,6701
Nivenia stokoei,590642,1,1,0,0,1,1.0,6702
Notobubon laevigatum,590664,1,1,0,0,1,1.0,6703
Nymphoides thunbergiana,590672,1,1,0,0,1,1.0,6704
Oncinotis tenuiloba,590770,1,1,0,0,1,1.0,6705
Oncocalyx welwitschii,590773,1,1,0,0,1,1.0,6706
Oncosiphon sabulosus,590778,1,1,0,0,1,1.0,6707
Oncosiphon suffruticosus,590780,1,1,0,0,1,1.0,6708
Osteospermum monstrosum,590996,1,1,0,0,1,1.0,6709
Osteospermum polygaloides,591004,1,1,0,0,1,1.0,6710
Othonna viminea,591136,1,1,0,0,1,1.0,6711
Oxalis amblyosepala,591146,1,1,0,0,1,1.0,6712
Oxalis annae,591147,1,1,0,0,1,1.0,6713
Oxalis burtoniae,591158,1,1,0,0,1,1.0,6714
Oxalis comosa,591168,1,1,0,0,1,1.0,6715
Oxalis duriuscula,591179,1,1,0,0,1,1.0,6716
Oxalis grammophylla,591198,1,1,0,0,1,1.0,6717
Oxalis inaequalis,591206,1,1,0,0,1,1.0,6718
Oxalis kamiesbergensis,591210,1,1,0,0,1,1.0,6719
Oxalis knuthiana,591211,1,1,0,0,1,1.0,6720
Oxalis lichenoides,591219,1,1,0,0,1,1.0,6721
Oxalis livida,591223,1,1,0,0,1,1.0,6722
Oxalis monophylla,591232,1,1,0,0,1,1.0,6723
Oxalis multicaulis,591233,1,1,0,0,1,1.0,6724
Oxalis phloxidiflora,591252,1,1,0,0,1,1.0,6725
Oxalis purpurascens,591264,1,1,0,0,1,1.0,6726
Oxalis pusilla,591266,1,1,0,0,1,1.0,6727
Oxalis salteri,591276,1,1,0,0,1,1.0,6728
Oxalis sonderiana,591280,1,1,0,0,1,1.0,6729
Oxalis stokoei,591286,1,1,0,0,1,1.0,6730
Oxalis tenuifolia,591292,1,1,0,0,1,1.0,6731
Pachycarpus lineolatus,591330,1,1,0,0,1,1.0,6732
Paramollugo nudicaulis,591391,1,1,0,0,1,1.0,6733
Pavetta cataractarum,591463,1,1,0,0,1,1.0,6734
Pelargonium columbinum,591563,1,1,0,0,1,1.0,6735
Pelargonium englerianum,591582,1,1,0,0,1,1.0,6736
Pelargonium glutinosum,591596,1,1,0,0,1,1.0,6737
Pelargonium proliferum,591657,1,1,0,0,1,1.0,6738
Pelargonium schizopetalum,591681,1,1,0,0,1,1.0,6739
Pelargonium ternatum,591695,1,1,0,0,1,1.0,6740
Pelargonium ternifolium,591696,1,1,0,0,1,1.0,6741
Pelargonium undulatum,591707,1,1,0,0,1,1.0,6742
Phylica lachneaeoides,592015,1,1,0,0,1,1.0,6743
Phyllopodium cordatum,592114,1,1,0,0,1,1.0,6744
Piliostigma thonningii,592162,1,1,0,0,1,1.0,6745
Platylepis glandulosa,592209,1,1,0,0,1,1.0,6746
Polystachya transvaalensis,592421,1,1,0,0,1,1.0,6747
Pouzolzia parasitica,592459,1,1,0,0,1,1.0,6748
Protea susannae,592543,1,1,0,0,1,1.0,6749
Pseuderanthemum subviscosum,592560,1,1,0,0,1,1.0,6750
Pseudopegolettia tenella,592572,1,1,0,0,1,1.0,6751
Pyrenacantha kaurabassana,592798,1,1,0,0,1,1.0,6752
Rafnia globosa,592846,1,1,0,0,1,1.0,6753
Rangaeris muscicola,592856,1,1,0,0,1,1.0,6754
Reynoutria sachalinensis,593040,1,1,0,0,1,1.0,6755
Rhamnus prinoides,593043,1,1,0,0,1,1.0,6756
Roella triflora,593239,1,1,0,0,1,1.0,6757
Romulea jugicola,593294,1,1,0,0,1,1.0,6758
Romulea tabularis,593328,1,1,0,0,1,1.0,6759
Satyrium humile,593737,1,1,0,0,1,1.0,6760
Searsia crenata,593871,1,1,0,0,1,1.0,6761
Searsia longispina,593892,1,1,0,0,1,1.0,6762
Searsia lucida,593894,1,1,0,0,1,1.0,6763
Searsia pallens,593905,1,1,0,0,1,1.0,6764
Sebaea albens,593927,1,1,0,0,1,1.0,6765
Selago glomerata,594056,1,1,0,0,1,1.0,6766
Senecio arenarius,594187,1,1,0,0,1,1.0,6767
Senecio barbertonicus,594191,1,1,0,0,1,1.0,6768
Senecio halimifolius,594256,1,1,0,0,1,1.0,6769
Senecio littoreus,594297,1,1,0,0,1,1.0,6770
Seriphium spirale,594445,1,1,0,0,1,1.0,6771
Serruria flava,594460,1,1,0,0,1,1.0,6772
Serruria gremialis,594462,1,1,0,0,1,1.0,6773
Serruria rubricaulis,594482,1,1,0,0,1,1.0,6774
Setaria homonyma,594509,1,1,0,0,1,1.0,6775
Sida dregei,594529,1,1,0,0,1,1.0,6776
Smicrostigma viride,594563,1,1,0,0,1,1.0,6777
Solanum campylacanthum,594568,1,1,0,0,1,1.0,6778
Solanum guineense,594576,1,1,0,0,1,1.0,6779
Solanum rubetorum,594584,1,1,0,0,1,1.0,6780
Sparaxis caryophyllacea,594616,1,1,0,0,1,1.0,6781
Stoebe nervigera,594847,1,1,0,0,1,1.0,6782
Strophanthus amboensis,594958,1,1,0,0,1,1.0,6783
Struthiola hirsuta,594993,1,1,0,0,1,1.0,6784
Teedia lucida,595146,1,1,0,0,1,1.0,6785
Tephrosia capensis,595162,1,1,0,0,1,1.0,6786
Tetradenia galpinii,595199,1,1,0,0,1,1.0,6787
Tetraena decumbens,595206,1,1,0,0,1,1.0,6788
Tetragonia hirsuta,595231,1,1,0,0,1,1.0,6789
Theilera guthriei,595338,1,1,0,0,1,1.0,6790
Tribolium uniolae,595635,1,1,0,0,1,1.0,6791
Tritonia nelsonii,595743,1,1,0,0,1,1.0,6792
Tritoniopsis triticea,595765,1,1,0,0,1,1.0,6793
Urochloa trichopus,595887,1,1,0,0,1,1.0,6794
Ursinia chrysanthemoides,595894,1,1,0,0,1,1.0,6795
Ursinia paleacea,595913,1,1,0,0,1,1.0,6796
Utricularia welwitschii,595937,1,1,0,0,1,1.0,6797
Walleria nutans,596208,1,1,0,0,1,1.0,6798
Acer morrisonense,596530,1,1,0,0,1,1.0,6799
Atriplex farinosa,596556,1,1,0,0,1,1.0,6800
Erica grandiflora,596633,1,1,0,0,1,1.0,6801
Aristolochia contorta,601633,1,1,0,0,1,1.0,6802
Patrinia rupestris,601634,1,1,0,0,1,1.0,6803
Patrinia scabra,601635,1,1,0,0,1,1.0,6804
Cynanchum thesioides,601643,1,1,0,0,1,1.0,6805
Cadaba fruticosa,601705,1,1,0,0,1,1.0,6806
Moenchia mantica,601724,1,1,0,0,1,1.0,6807
Lippia lupulina,601728,1,1,0,0,1,1.0,6808
Ceiba trischistandra,601774,1,1,0,0,1,1.0,6809
Patersonia umbrosa,601786,1,1,0,0,1,1.0,6810
Rodriguezia granadensis,601791,1,1,0,0,1,1.0,6811
Agrostocrinum hirsutum,601837,1,1,0,0,1,1.0,6812
Eugenia azeda,601882,1,1,0,0,1,1.0,6813
Erigeron multiradiatus,601904,1,1,0,0,1,1.0,6814
Astilbe macroflora,601996,1,1,0,0,1,1.0,6815
Spodiopogon sibiricus,602024,1,1,0,0,1,1.0,6816
Ellisiophyllum pinnatum,602157,1,1,0,0,1,1.0,6817
Dendrobium barbatulum,602282,1,1,0,0,1,1.0,6818
Hygrophila serpyllum,602288,1,1,0,0,1,1.0,6819
Lobelia nicotianifolia,602300,1,1,0,0,1,1.0,6820
Leea asiatica,602304,1,1,0,0,1,1.0,6821
Pinda concanensis,602313,1,1,0,0,1,1.0,6822
Rhamphicarpa longiflora,602319,1,1,0,0,1,1.0,6823
Cissus elongata,602327,1,1,0,0,1,1.0,6824
Convolvulus persicus,602330,1,1,0,0,1,1.0,6825
Erythrocephalum longifolium,602370,1,1,0,0,1,1.0,6826
Discaria americana,602580,1,1,0,0,1,1.0,6827
Cynorkis debilis,602907,1,1,0,0,1,1.0,6828
Utricularia reniformis,603083,1,1,0,0,1,1.0,6829
Euphrasia borneensis,603110,1,1,0,0,1,1.0,6830
Lavandula bipinnata,603152,1,1,0,0,1,1.0,6831
Mutisia coccinea,603356,1,1,0,0,1,1.0,6832
Kleinia petraea,603372,1,1,0,0,1,1.0,6833
Lonicera acuminata,603382,1,1,0,0,1,1.0,6834
Melaleuca gibbosa,603602,1,1,0,0,1,1.0,6835
Helichrysum nitens,603607,1,1,0,0,1,1.0,6836
Emilia discifolia,603877,1,1,0,0,1,1.0,6837
Sarcopyramis napalensis,604072,1,1,0,0,1,1.0,6838
Clusia weddelliana,604105,1,1,0,0,1,1.0,6839
Grevillea refracta,604576,1,1,0,0,1,1.0,6840
Mabea fistulifera,604592,1,1,0,0,1,1.0,6841
Ipomoea hildebrandtii,604646,1,1,0,0,1,1.0,6842
Portulaca hirsutissima,605444,1,1,0,0,1,1.0,6843
Lotus purpureus,605809,1,1,0,0,1,1.0,6844
Adenocarpus anisochilus,605821,1,1,0,0,1,1.0,6845
Bulbophyllum brienianum,605936,1,1,0,0,1,1.0,6846
Rhododendron formosanum,606234,1,1,0,0,1,1.0,6847
Viola formosana,606314,1,1,0,0,1,1.0,6848
Cirsium ligulare,606813,1,1,0,0,1,1.0,6849
Tillandsia compacta,606819,1,1,0,0,1,1.0,6850
Primula atrodentata,607109,1,1,0,0,1,1.0,6851
Mussaenda parviflora,607635,1,1,0,0,1,1.0,6852
Stylidium repens,622606,1,1,0,0,1,1.0,6853
Euphorbia fischeriana,622622,1,1,0,0,1,1.0,6854
Solenomelus segethi,622773,1,1,0,0,1,1.0,6855
Gavilea araucana,623234,1,1,0,0,1,1.0,6856
Calceolaria filicaulis,623458,1,1,0,0,1,1.0,6857
Centropogon valerii,624338,1,1,0,0,1,1.0,6858
Euphrasia antarctica,624349,1,1,0,0,1,1.0,6859
Oreopolus glacialis,624361,1,1,0,0,1,1.0,6860
Carduus squarrosus,625485,1,1,0,0,1,1.0,6861
Iris uniflora,625499,1,1,0,0,1,1.0,6862
Drymonia turrialvae,625719,1,1,0,0,1,1.0,6863
Andrographis echioides,626166,1,1,0,0,1,1.0,6864
Bomarea salsilla,626441,1,1,0,0,1,1.0,6865
Voyria rosea,626469,1,1,0,0,1,1.0,6866
Melochia parvifolia,626840,1,1,0,0,1,1.0,6867
Spathoglottis pubescens,627169,1,1,0,0,1,1.0,6868
Rhododendron kesangiae,627333,1,1,0,0,1,1.0,6869
Amorphophallus hirtus,627781,1,1,0,0,1,1.0,6870
Echium petiolatum,629025,1,1,0,0,1,1.0,6871
Erythranthe lutea,631312,1,1,0,0,1,1.0,6872
Vincetoxicum rossicum,632667,1,1,0,0,1,1.0,6873
Funastrum angustissimum,632686,1,1,0,0,1,1.0,6874
Pentacyphus andinus,632697,1,1,0,0,1,1.0,6875
Spermacoce dibrachiata,633014,1,1,0,0,1,1.0,6876
Senecio leucomallus,633048,1,1,0,0,1,1.0,6877
Allium trifurcatum,633277,1,1,0,0,1,1.0,6878
Aneilema welwitschii,633330,1,1,0,0,1,1.0,6879
Epidendrum jamiesonis,633407,1,1,0,0,1,1.0,6880
Artemisia sieversiana,633994,1,1,0,0,1,1.0,6881
Hypericophyllum compositarum,634446,1,1,0,0,1,1.0,6882
Leiocarpa supina,634671,1,1,0,0,1,1.0,6883
Myriocephalus guerinae,634709,1,1,0,0,1,1.0,6884
Rhodanthe maryonii,634755,1,1,0,0,1,1.0,6885
Schoenia cassiniana,634764,1,1,0,0,1,1.0,6886
Rhynchoglossum notonianum,634871,1,1,0,0,1,1.0,6887
Bulbophyllum mutabile,634874,1,1,0,0,1,1.0,6888
Globba candida,634894,1,1,0,0,1,1.0,6889
Jatropha mutabilis,634975,1,1,0,0,1,1.0,6890
Dianthus japonicus,635137,1,1,0,0,1,1.0,6891
Solanum peruvianum,635198,1,1,0,0,1,1.0,6892
Drosera erythrogyne,635249,1,1,0,0,1,1.0,6893
Drosera heterophylla,635253,1,1,0,0,1,1.0,6894
Erythranthe primuloides,635401,1,1,0,0,1,1.0,6895
Chloranthus quadrifolius,635729,1,1,0,0,1,1.0,6896
Impatiens scullyi,635786,1,1,0,0,1,1.0,6897
Capsicum caatingae,635846,1,1,0,0,1,1.0,6898
Pulsatilla violacea,636044,1,1,0,0,1,1.0,6899
Prunus incana,636262,1,1,0,0,1,1.0,6900
Heloniopsis umbellata,636269,1,1,0,0,1,1.0,6901
Carex chrysolepis,636806,1,1,0,0,1,1.0,6902
Anemonopsis macrophylla,637226,1,1,0,0,1,1.0,6903
Moraea schimperi,637277,1,1,0,0,1,1.0,6904
Prunus grayana,637667,1,1,0,0,1,1.0,6905
Cochlospermum angolense,637673,1,1,0,0,1,1.0,6906
Helianthemum canariense,638032,1,1,0,0,1,1.0,6907
Pleurothallis tetragona,638117,1,1,0,0,1,1.0,6908
Impatiens sulcata,638143,1,1,0,0,1,1.0,6909
Masdevallia molossus,638301,1,1,0,0,1,1.0,6910
Stenocereus huastecorum,638321,1,1,0,0,1,1.0,6911
Asteranthera ovata,638324,1,1,0,0,1,1.0,6912
Quesnelia lateralis,638437,1,1,0,0,1,1.0,6913
Utricularia appendiculata,638469,1,1,0,0,1,1.0,6914
Disa equestris,638484,1,1,0,0,1,1.0,6915
Duboisia hopwoodii,698942,1,1,0,0,1,1.0,6916
Pericallis appendiculata,699071,1,1,0,0,1,1.0,6917
Salvadora oleoides,699347,1,1,0,0,1,1.0,6918
Echium bonnetii,699384,1,1,0,0,1,1.0,6919
Ptilotus sessilifolius,700152,1,1,0,0,1,1.0,6920
Acalypha boinensis,700172,1,1,0,0,1,1.0,6921
Pericallis webbii,700193,1,1,0,0,1,1.0,6922
Euphorbia atropurpurea,700423,1,1,0,0,1,1.0,6923
Polycarpaea spirostylis,700937,1,1,0,0,1,1.0,6924
Campylanthus salsoloides,700986,1,1,0,0,1,1.0,6925
Crinum nubicum,701073,1,1,0,0,1,1.0,6926
Myosotis spatulata,701200,1,1,0,0,1,1.0,6927
Sonchus capillaris,701234,1,1,0,0,1,1.0,6928
Eupatorium tashiroi,701246,1,1,0,0,1,1.0,6929
Lindenbergia philippensis,701271,1,1,0,0,1,1.0,6930
Calliandra medellinensis,701272,1,1,0,0,1,1.0,6931
Ceiba glaziovii,701388,1,1,0,0,1,1.0,6932
Schizanthus hookeri,701433,1,1,0,0,1,1.0,6933
Scrophularia glabrata,701496,1,1,0,0,1,1.0,6934
Aechmea leptantha,701779,1,1,0,0,1,1.0,6935
Cosmos peucedanifolius,701783,1,1,0,0,1,1.0,6936
Helianthemum kahiricum,701915,1,1,0,0,1,1.0,6937
Aconitum fukutomei,702063,1,1,0,0,1,1.0,6938
Mucuna macrocarpa,702065,1,1,0,0,1,1.0,6939
Gaultheria phillyreifolia,702361,1,1,0,0,1,1.0,6940
Vochysia ferruginea,702393,1,1,0,0,1,1.0,6941
Aichryson villosum,702674,1,1,0,0,1,1.0,6942
Acacia stenoptera,702684,1,1,0,0,1,1.0,6943
Epidendrum moritzii,702902,1,1,0,0,1,1.0,6944
Marsdenia tinctoria,703025,1,1,0,0,1,1.0,6945
Streptocarpus eylesii,703869,1,1,0,0,1,1.0,6946
Broussonetia monoica,704130,1,1,0,0,1,1.0,6947
Echeandia herrerae,704305,1,1,0,0,1,1.0,6948
Exodeconus maritimus,704460,1,1,0,0,1,1.0,6949
Tagetes multiflora,704464,1,1,0,0,1,1.0,6950
Gynoxys caracensis,704478,1,1,0,0,1,1.0,6951
Pleurothallis pulvinaris,704579,1,1,0,0,1,1.0,6952
Scaphyglottis stellata,704586,1,1,0,0,1,1.0,6953
Drosera serpens,704611,1,1,0,0,1,1.0,6954
Krameria lappacea,704668,1,1,0,0,1,1.0,6955
Clinopodium tomentosum,704669,1,1,0,0,1,1.0,6956
Perezia pungens,704688,1,1,0,0,1,1.0,6957
Nassauvia magellanica,704947,1,1,0,0,1,1.0,6958
Drosera banksii,704981,1,1,0,0,1,1.0,6959
Baccharis ulicina,705214,1,1,0,0,1,1.0,6960
Stylosanthes capitata,705277,1,1,0,0,1,1.0,6961
Staurogyne concinnula,705441,1,1,0,0,1,1.0,6962
Pedicularis longiflora,706329,1,1,0,0,1,1.0,6963
Tamarix aucheriana,706378,1,1,0,0,1,1.0,6964
Lourteigia stoechadifolia,706408,1,1,0,0,1,1.0,6965
Dracocephalum heterophyllum,706626,1,1,0,0,1,1.0,6966
Gentiana nubigena,706628,1,1,0,0,1,1.0,6967
Cycnoches chlorochilon,706855,1,1,0,0,1,1.0,6968
Lancea tibetica,707014,1,1,0,0,1,1.0,6969
Barthea barthei,707106,1,1,0,0,1,1.0,6970
Viburnum sempervirens,707220,1,1,0,0,1,1.0,6971
Daphne papyracea,707256,1,1,0,0,1,1.0,6972
Picrasma quassioides,707271,1,1,0,0,1,1.0,6973
Clematis macropetala,707287,1,1,0,0,1,1.0,6974
Leontopodium leontopodioides,707476,1,1,0,0,1,1.0,6975
Elaeocarpus mastersii,707876,1,1,0,0,1,1.0,6976
Microcos tomentosa,707879,1,1,0,0,1,1.0,6977
Euphorbia mayfieldii,707895,1,1,0,0,1,1.0,6978
Rhododendron ledebourii,708692,1,1,0,0,1,1.0,6979
Pacourina edulis,708807,1,1,0,0,1,1.0,6980
Sipanea hispida,708829,1,1,0,0,1,1.0,6981
Strobilanthes formosana,708887,1,1,0,0,1,1.0,6982
Sanicula lamelligera,708931,1,1,0,0,1,1.0,6983
Artemisia japonica,709032,1,1,0,0,1,1.0,6984
Cirsium kawakamii,709063,1,1,0,0,1,1.0,6985
Eupatorium kiirunense,709081,1,1,0,0,1,1.0,6986
Viola uniflora,709146,1,1,0,0,1,1.0,6987
Acmella alba,709766,1,1,0,0,1,1.0,6988
Conostephium pendulum,710617,1,1,0,0,1,1.0,6989
